,bbox_list
007534159.jpg,"[(48, 232, 124, 344), (38, 346, 77, 406)]"
00761707d.jpg,"[(760, 639, 768, 646)]"
0076e2074.jpg,"[(402, 369, 422, 393)]"
007b25c03.jpg,"[(434, 96, 513, 253), (186, 114, 192, 129), (303, 630, 354, 693), (619, 719, 768, 766)]"
007b39d27.jpg,"[(37, 708, 46, 717), (57, 713, 67, 724)]"
008127d89.jpg,"[(141, 297, 155, 319)]"
008129422.jpg,"[(459, 77, 478, 119)]"
008605bcf.jpg,"[(669, 78, 742, 169), (690, 608, 759, 680)]"
0086f828b.jpg,"[(336, 699, 346, 710)]"
008863fe8.jpg,"[(687, 49, 712, 70)]"
008bc8983.jpg,"[(311, 420, 318, 429)]"
008be7e31.jpg,"[(200, 122, 210, 133)]"
008d2170e.jpg,"[(420, 0, 569, 101), (64, 253, 118, 281), (46, 262, 60, 277), (267, 353, 304, 387), (12, 670, 58, 685)]"
008fd2b42.jpg,"[(200, 50, 224, 66)]"
0093754d4.jpg,"[(452, 222, 505, 347)]"
009751652.jpg,"[(513, 453, 560, 545)]"
00975abe1.jpg,"[(698, 445, 727, 529)]"
0098456ff.jpg,"[(525, 165, 680, 287), (423, 595, 648, 768)]"
0098652ab.jpg,"[(466, 199, 476, 232), (67, 247, 120, 282)]"
00990fe74.jpg,"[(269, 644, 288, 659)]"
009c1116c.jpg,"[(689, 271, 701, 284)]"
009e22bfb.jpg,"[(420, 319, 457, 481)]"
009eb0e0c.jpg,"[(710, 499, 742, 546), (680, 641, 712, 686)]"
00a1aab5b.jpg,"[(337, 453, 363, 489)]"
00a52cd2a.jpg,"[(16, 491, 170, 687)]"
00a6fef47.jpg,"[(574, 510, 595, 519)]"
00a9adaa4.jpg,"[(304, 61, 315, 76), (268, 141, 284, 158), (219, 280, 244, 303), (160, 324, 183, 339), (20, 422, 39, 437)]"
00a9be085.jpg,"[(287, 36, 369, 102), (662, 603, 680, 620), (672, 618, 711, 660)]"
00a9e2ec9.jpg,"[(37, 118, 49, 141)]"
00aa60389.jpg,"[(558, 488, 588, 538), (394, 674, 417, 715)]"
00aa8bc42.jpg,"[(56, 444, 141, 482)]"
00abc623a.jpg,"[(573, 254, 768, 352), (0, 369, 163, 472)]"
00b0fa633.jpg,"[(357, 302, 439, 333), (103, 479, 117, 494)]"
00b101ed7.jpg,"[(492, 47, 537, 111)]"
00b21150c.jpg,"[(611, 504, 712, 768)]"
00b3e6991.jpg,"[(647, 729, 678, 754)]"
00b71d048.jpg,"[(103, 26, 150, 55)]"
00b872d8e.jpg,"[(343, 357, 354, 367)]"
00bc708e0.jpg,"[(296, 428, 353, 510)]"
00be4edfb.jpg,"[(559, 58, 588, 99), (237, 138, 261, 166), (458, 215, 472, 229)]"
00c2c8539.jpg,"[(303, 527, 311, 546)]"
00c3aee3d.jpg,"[(99, 147, 112, 152), (52, 191, 93, 263), (291, 498, 322, 519)]"
00c3bafa8.jpg,"[(258, 678, 276, 701)]"
00c3e1386.jpg,"[(383, 254, 461, 287)]"
00c498ef4.jpg,"[(422, 472, 484, 538)]"
00c4a90d2.jpg,"[(547, 551, 558, 585)]"
00c4b4f62.jpg,"[(568, 541, 575, 549)]"
00c54cf6e.jpg,"[(109, 558, 193, 596)]"
00c571edd.jpg,"[(731, 163, 768, 242)]"
00c81c432.jpg,"[(397, 274, 493, 365)]"
00c885f4f.jpg,"[(325, 364, 358, 394)]"
00c996565.jpg,"[(219, 138, 231, 149), (612, 194, 622, 204), (58, 401, 77, 420)]"
00c9a7ed3.jpg,"[(468, 142, 487, 175)]"
00cad4541.jpg,"[(67, 587, 140, 666)]"
00ce2c1c0.jpg,"[(501, 281, 640, 543)]"
00d0a646b.jpg,"[(27, 549, 98, 768)]"
00d412548.jpg,"[(643, 374, 768, 561)]"
00dbe507d.jpg,"[(574, 745, 593, 764)]"
00dffdc42.jpg,"[(257, 709, 274, 724)]"
00e05ac7b.jpg,"[(197, 32, 202, 38)]"
00e0b6dc0.jpg,"[(122, 557, 133, 570)]"
00e44fa55.jpg,"[(358, 239, 444, 319)]"
00e4b52b2.jpg,"[(735, 21, 767, 83), (276, 431, 351, 518), (315, 454, 353, 499)]"
00e56cc3c.jpg,"[(538, 734, 562, 757)]"
00e603959.jpg,"[(342, 599, 361, 644)]"
00ea572a2.jpg,"[(708, 284, 713, 289)]"
00eda2ebe.jpg,"[(0, 244, 96, 327)]"
00ee04562.jpg,"[(9, 112, 31, 196), (158, 282, 184, 361), (442, 319, 481, 402)]"
00ef1bc5c.jpg,"[(649, 43, 700, 118), (549, 283, 599, 357)]"
00ef28664.jpg,"[(121, 489, 131, 498)]"
00f34434e.jpg,"[(394, 355, 504, 526), (590, 574, 595, 584)]"
00f4494b4.jpg,"[(538, 400, 557, 411), (618, 463, 630, 474), (757, 524, 768, 537)]"
00f89a059.jpg,"[(519, 61, 530, 74)]"
00fba1ce7.jpg,"[(258, 89, 304, 147), (705, 465, 768, 563)]"
00fd8e126.jpg,"[(345, 120, 594, 256)]"
01000f132.jpg,"[(576, 209, 606, 366)]"
01031cea7.jpg,"[(579, 0, 655, 52)]"
010396a0e.jpg,"[(254, 307, 279, 364), (560, 576, 611, 732)]"
0104ed53e.jpg,"[(354, 160, 377, 214), (132, 519, 178, 617)]"
0106d2433.jpg,"[(341, 292, 399, 419)]"
010b1e6aa.jpg,"[(608, 304, 629, 369), (607, 615, 622, 647)]"
010cbbfa0.jpg,"[(663, 200, 673, 221), (618, 529, 624, 538), (474, 698, 494, 703)]"
010e15afe.jpg,"[(407, 0, 442, 63), (301, 11, 322, 51), (348, 83, 369, 117), (397, 84, 440, 142), (334, 117, 356, 144)]"
010ed806d.jpg,"[(463, 373, 470, 384)]"
01109440b.jpg,"[(453, 428, 463, 438), (433, 554, 441, 563)]"
0114cb925.jpg,"[(408, 495, 486, 535), (326, 531, 337, 537)]"
01152a5d6.jpg,"[(463, 688, 479, 712)]"
01178499a.jpg,"[(319, 299, 440, 438)]"
01184bcb5.jpg,"[(74, 692, 100, 713)]"
01193c983.jpg,"[(71, 0, 91, 12)]"
011a24ce7.jpg,"[(676, 0, 748, 179)]"
0121138f0.jpg,"[(376, 420, 416, 474)]"
0123af2ee.jpg,"[(244, 644, 261, 666)]"
0123b84ee.jpg,"[(626, 144, 640, 214), (180, 153, 219, 236), (517, 333, 540, 395), (57, 344, 74, 388), (17, 431, 46, 500)]"
012635ffd.jpg,"[(485, 556, 512, 658)]"
012735107.jpg,"[(427, 89, 446, 111), (331, 678, 341, 689)]"
0129c0880.jpg,"[(703, 288, 715, 301)]"
012c055e7.jpg,"[(0, 379, 170, 611)]"
012c9f428.jpg,"[(22, 0, 43, 39)]"
012d9c145.jpg,"[(185, 165, 209, 205), (491, 218, 520, 274), (385, 721, 424, 768)]"
013048d62.jpg,"[(480, 272, 595, 399), (418, 384, 434, 416), (223, 419, 460, 686)]"
0137ee2df.jpg,"[(129, 28, 180, 83)]"
013b9540b.jpg,"[(11, 249, 201, 448), (6, 341, 21, 352), (674, 616, 687, 632)]"
013fb4633.jpg,"[(487, 613, 629, 659)]"
0140787ec.jpg,"[(627, 415, 684, 532), (528, 480, 571, 543), (637, 546, 700, 646)]"
0142b90f6.jpg,"[(662, 70, 677, 85)]"
01431af84.jpg,"[(183, 404, 193, 414)]"
014374e14.jpg,"[(192, 416, 208, 430)]"
014586e74.jpg,"[(476, 362, 523, 476)]"
014624873.jpg,"[(126, 359, 340, 546), (154, 476, 163, 490)]"
014773cfa.jpg,"[(181, 493, 192, 509)]"
0148e8c38.jpg,"[(709, 32, 714, 38)]"
014ae9b69.jpg,"[(672, 29, 677, 36)]"
014bf2cb5.jpg,"[(392, 25, 400, 42), (384, 44, 395, 70)]"
014c589c5.jpg,"[(74, 298, 96, 306), (690, 351, 702, 362)]"
014c906b1.jpg,"[(348, 206, 367, 262), (95, 369, 121, 458), (650, 411, 684, 475), (388, 538, 408, 616)]"
014f2454d.jpg,"[(568, 285, 575, 293)]"
014f42813.jpg,"[(168, 339, 205, 424)]"
0150b2c24.jpg,"[(40, 21, 45, 28)]"
0152a6885.jpg,"[(580, 255, 610, 299), (502, 424, 550, 487)]"
0152f58b6.jpg,"[(26, 404, 34, 416), (59, 657, 69, 670), (55, 740, 69, 752)]"
01530ba04.jpg,"[(553, 179, 678, 274)]"
015369fd9.jpg,"[(21, 79, 95, 163), (248, 203, 275, 278), (135, 268, 170, 381), (226, 339, 255, 432)]"
0153aaea8.jpg,"[(344, 364, 353, 373)]"
01541263e.jpg,"[(149, 652, 154, 655), (152, 662, 156, 670), (430, 662, 436, 670), (432, 674, 439, 682), (447, 679, 451, 687), (497, 686, 505, 697), (72, 695, 81, 704), (121, 709, 127, 716), (68, 717, 73, 725), (580, 717, 588, 730)]"
0154d8e2d.jpg,"[(694, 621, 703, 638)]"
01584f24a.jpg,"[(467, 1, 479, 21), (197, 687, 203, 699)]"
015861bab.jpg,"[(34, 97, 47, 112)]"
01589db09.jpg,"[(18, 260, 175, 302)]"
015b2962a.jpg,"[(644, 113, 656, 135), (609, 182, 647, 259), (270, 489, 442, 768)]"
015b4aaf1.jpg,"[(588, 413, 639, 566), (632, 443, 677, 553)]"
015d9f6b2.jpg,"[(352, 304, 373, 369), (351, 615, 366, 647)]"
015da1585.jpg,"[(93, 321, 101, 330)]"
015e0504c.jpg,"[(395, 704, 409, 718)]"
015e56b00.jpg,"[(46, 216, 91, 291), (23, 354, 30, 369)]"
015fb893d.jpg,"[(272, 65, 278, 72), (218, 250, 225, 258), (104, 364, 109, 371), (369, 687, 375, 696)]"
016017695.jpg,"[(35, 370, 145, 457)]"
0160a797d.jpg,"[(695, 370, 714, 383)]"
0163c7069.jpg,"[(561, 318, 591, 354)]"
0166012e5.jpg,"[(156, 169, 169, 182)]"
0166f83f1.jpg,"[(377, 5, 389, 27)]"
016b781a9.jpg,"[(246, 39, 316, 132)]"
016bb0df6.jpg,"[(112, 620, 124, 631), (186, 652, 257, 699)]"
016ca71c9.jpg,"[(48, 682, 97, 742)]"
016dcd260.jpg,"[(474, 356, 540, 452), (366, 508, 380, 530), (160, 658, 187, 768)]"
016ec07ac.jpg,"[(681, 197, 686, 220), (736, 611, 745, 625)]"
0171499be.jpg,"[(114, 0, 240, 124), (337, 95, 379, 125), (271, 187, 309, 234)]"
0172ba95b.jpg,"[(707, 58, 731, 69)]"
0177df615.jpg,"[(458, 164, 473, 178), (686, 217, 702, 255), (27, 407, 41, 421), (219, 650, 231, 661), (612, 706, 622, 716)]"
0178084d0.jpg,"[(754, 584, 761, 593), (81, 638, 90, 648)]"
017826c29.jpg,"[(344, 581, 408, 727), (355, 690, 375, 711)]"
0178a78ec.jpg,"[(0, 558, 51, 652)]"
0178c2489.jpg,"[(29, 19, 46, 41), (171, 191, 182, 203), (208, 198, 217, 208), (352, 254, 360, 260)]"
017a3a722.jpg,"[(48, 27, 72, 61), (454, 53, 486, 79), (9, 127, 63, 211), (117, 366, 161, 408), (188, 397, 204, 411), (207, 414, 236, 448), (381, 468, 558, 524)]"
017b8be5a.jpg,"[(303, 637, 329, 656)]"
017d242a2.jpg,"[(524, 366, 530, 375)]"
018054283.jpg,"[(451, 20, 625, 72), (636, 424, 768, 516)]"
01834cb80.jpg,"[(184, 342, 269, 481)]"
0185015c1.jpg,"[(319, 541, 361, 570)]"
01851fccf.jpg,"[(328, 341, 344, 355)]"
0185b1bc5.jpg,"[(508, 390, 524, 400)]"
0185f1bec.jpg,"[(465, 43, 551, 102), (293, 137, 342, 177)]"
01873dc60.jpg,"[(565, 262, 574, 271), (524, 326, 531, 337), (558, 346, 565, 352), (627, 363, 634, 375), (601, 397, 626, 428), (742, 445, 748, 458), (682, 489, 690, 504), (550, 545, 560, 569), (440, 564, 443, 570), (459, 625, 463, 633), (668, 635, 677, 649), (646, 714, 655, 734)]"
01874d60b.jpg,"[(135, 669, 164, 701)]"
0187b087a.jpg,"[(18, 632, 32, 646)]"
018977b8c.jpg,"[(599, 677, 608, 703)]"
018b5ba5b.jpg,"[(237, 270, 250, 283)]"
018b8ef33.jpg,"[(137, 183, 169, 199)]"
018c4ba23.jpg,"[(199, 329, 246, 367), (499, 665, 543, 711)]"
018e3e878.jpg,"[(151, 22, 183, 118)]"
018e8bf12.jpg,"[(227, 224, 258, 331)]"
0190215b2.jpg,"[(434, 69, 474, 121), (626, 400, 640, 470), (180, 409, 219, 492), (517, 589, 540, 651), (57, 600, 74, 644), (17, 687, 46, 756)]"
01914baf2.jpg,"[(392, 3, 414, 88), (513, 113, 528, 157), (657, 131, 681, 204), (159, 146, 184, 224), (312, 169, 330, 206), (238, 272, 248, 289), (755, 285, 768, 318), (447, 286, 462, 329), (270, 334, 292, 410), (567, 354, 584, 408), (440, 388, 466, 468), (661, 518, 688, 592), (304, 562, 322, 622), (516, 657, 534, 734), (746, 664, 768, 726)]"
01920b170.jpg,"[(489, 176, 496, 193)]"
01924b710.jpg,"[(664, 426, 678, 435), (717, 544, 731, 557)]"
01933be65.jpg,"[(435, 669, 446, 689)]"
0193ae5c1.jpg,"[(638, 481, 654, 513), (447, 619, 469, 649)]"
0193c0713.jpg,"[(486, 77, 515, 113)]"
019637cee.jpg,"[(5, 241, 10, 248)]"
019762ab7.jpg,"[(296, 187, 310, 214), (334, 634, 347, 655)]"
0197eac3f.jpg,"[(703, 713, 757, 768)]"
0198534d2.jpg,"[(148, 600, 163, 618), (195, 685, 225, 702)]"
0198713b4.jpg,"[(666, 137, 716, 258)]"
0198728be.jpg,"[(230, 176, 317, 320), (203, 180, 235, 252), (650, 303, 674, 401), (476, 553, 521, 637)]"
0199abc4f.jpg,"[(718, 249, 738, 327)]"
019c45bdf.jpg,"[(202, 420, 217, 434), (430, 473, 446, 511)]"
019ea06c8.jpg,"[(34, 679, 58, 693)]"
01a1e6260.jpg,"[(80, 338, 103, 367)]"
01a26b0b2.jpg,"[(616, 88, 636, 108)]"
01a3f56a2.jpg,"[(672, 681, 693, 708)]"
01a5e1c3f.jpg,"[(358, 32, 364, 37), (580, 115, 589, 123)]"
01aa2bb58.jpg,"[(117, 606, 128, 617), (44, 694, 69, 702)]"
01acf3a1a.jpg,"[(639, 476, 657, 507)]"
01ad35fcb.jpg,"[(424, 239, 501, 384), (63, 371, 90, 413), (172, 412, 215, 485), (721, 649, 747, 693), (293, 714, 327, 768)]"
01b030c4b.jpg,"[(484, 490, 540, 549)]"
01b04ce8d.jpg,"[(510, 453, 555, 480)]"
01b267948.jpg,"[(62, 254, 123, 348)]"
01b2b29c7.jpg,"[(434, 20, 454, 32)]"
01b524ff3.jpg,"[(107, 47, 166, 80)]"
01b6d88ec.jpg,"[(627, 371, 634, 379)]"
01b7347a6.jpg,"[(657, 428, 664, 438)]"
01b87d3d6.jpg,"[(115, 178, 132, 194)]"
01b88e0da.jpg,"[(246, 196, 317, 295)]"
01bb07c7d.jpg,"[(596, 210, 768, 480)]"
01bc908db.jpg,"[(489, 723, 499, 762)]"
01bcd7b61.jpg,"[(451, 473, 460, 481)]"
01bd540db.jpg,"[(148, 84, 160, 108)]"
01c35c219.jpg,"[(65, 19, 175, 78)]"
01c559b28.jpg,"[(699, 70, 709, 81), (716, 514, 726, 528)]"
01c5e7262.jpg,"[(680, 302, 688, 309), (669, 499, 686, 516), (53, 689, 63, 702)]"
01c6da630.jpg,"[(714, 582, 721, 588)]"
01c78e866.jpg,"[(546, 0, 623, 60), (751, 245, 768, 261)]"
01c8395ef.jpg,"[(362, 193, 387, 209)]"
01c934c85.jpg,"[(617, 42, 623, 54), (593, 78, 604, 91), (579, 80, 591, 99), (635, 104, 650, 112)]"
01c99b29b.jpg,"[(301, 19, 327, 51)]"
01c99f2f5.jpg,"[(702, 143, 745, 233)]"
01ca03158.jpg,"[(654, 451, 659, 454)]"
01caa731a.jpg,"[(321, 507, 418, 768)]"
01cecb9b6.jpg,"[(533, 276, 553, 288)]"
01d175183.jpg,"[(294, 483, 370, 556), (361, 509, 376, 525)]"
01d2a4440.jpg,"[(50, 390, 114, 478), (479, 709, 487, 738), (456, 712, 473, 722)]"
01d53cfe0.jpg,"[(667, 178, 691, 251), (686, 509, 696, 527)]"
01d6c0ada.jpg,"[(298, 13, 342, 174)]"
01d7041bb.jpg,"[(13, 227, 39, 253), (65, 277, 141, 351)]"
01d8d0ef7.jpg,"[(90, 415, 99, 425), (532, 626, 544, 636), (567, 637, 577, 646), (674, 745, 692, 759)]"
01d98a868.jpg,"[(520, 665, 610, 729)]"
01da5a2de.jpg,"[(211, 646, 369, 738)]"
01de1273b.jpg,"[(718, 6, 768, 167), (436, 387, 511, 495)]"
01e06a4c8.jpg,"[(647, 157, 676, 189)]"
01e0fce2c.jpg,"[(479, 74, 561, 95), (119, 128, 141, 176), (330, 378, 389, 524), (15, 392, 33, 451)]"
01e33f740.jpg,"[(85, 368, 103, 385)]"
01e4019bc.jpg,"[(12, 528, 113, 768)]"
01e44cff9.jpg,"[(746, 494, 759, 538)]"
01e53d284.jpg,"[(154, 302, 178, 342), (371, 325, 383, 337)]"
01e744922.jpg,"[(59, 179, 73, 196)]"
01e78a5d3.jpg,"[(367, 315, 379, 348)]"
01e8037b5.jpg,"[(360, 354, 373, 366)]"
01ecad2c6.jpg,"[(28, 65, 103, 249)]"
01ed38a14.jpg,"[(582, 645, 587, 650)]"
01edf4e56.jpg,"[(440, 250, 478, 262), (603, 392, 629, 403)]"
01ef10853.jpg,"[(657, 172, 664, 182), (712, 551, 720, 557), (714, 558, 723, 567), (714, 567, 724, 575), (714, 574, 725, 584), (715, 582, 725, 595), (720, 592, 729, 600)]"
01eff2f3e.jpg,"[(578, 615, 603, 677)]"
01f276783.jpg,"[(35, 453, 221, 701)]"
01f286825.jpg,"[(16, 215, 24, 221)]"
01f4debc0.jpg,"[(416, 186, 441, 197), (198, 546, 276, 582), (139, 704, 168, 725)]"
01f7d537e.jpg,"[(0, 155, 39, 181), (131, 387, 143, 394), (265, 448, 322, 474)]"
01fdbadc8.jpg,"[(166, 639, 197, 712)]"
0200505ee.jpg,"[(610, 472, 666, 516)]"
0200612e9.jpg,"[(565, 292, 663, 568)]"
020128a8d.jpg,"[(294, 320, 374, 377), (420, 409, 466, 434)]"
02021c2f9.jpg,"[(593, 382, 602, 392), (387, 504, 395, 512), (343, 586, 351, 594), (326, 654, 334, 661)]"
02033af48.jpg,"[(319, 447, 385, 640)]"
020364a0c.jpg,"[(194, 348, 213, 359), (375, 632, 384, 637)]"
0209f50e1.jpg,"[(137, 365, 169, 389)]"
020a2bace.jpg,"[(692, 455, 703, 466)]"
020aa1a39.jpg,"[(279, 230, 541, 407)]"
020da2aa6.jpg,"[(40, 300, 60, 335)]"
020eb3654.jpg,"[(577, 371, 638, 575)]"
020f1afe8.jpg,"[(302, 174, 482, 461)]"
0210c65fa.jpg,"[(486, 206, 502, 228)]"
0213b298f.jpg,"[(752, 491, 765, 506)]"
021726b60.jpg,"[(600, 554, 613, 564)]"
0219dec84.jpg,"[(43, 134, 47, 138), (65, 134, 78, 147), (49, 153, 53, 156), (25, 155, 38, 169)]"
021e2b4dd.jpg,"[(0, 103, 173, 178), (559, 118, 610, 181), (132, 538, 387, 768)]"
0221587f9.jpg,"[(616, 11, 622, 21)]"
02224f66f.jpg,"[(720, 394, 753, 422), (179, 514, 196, 530), (190, 531, 200, 539), (198, 538, 210, 548), (614, 541, 677, 601), (213, 553, 224, 565), (247, 571, 258, 584), (288, 650, 296, 656), (305, 700, 317, 709), (433, 735, 477, 767)]"
02254cac5.jpg,"[(323, 68, 336, 96)]"
02277803f.jpg,"[(123, 91, 133, 101)]"
0227e4755.jpg,"[(379, 337, 400, 416)]"
0228b1fbf.jpg,"[(676, 365, 739, 497), (547, 677, 577, 731)]"
022abde58.jpg,"[(451, 287, 460, 301)]"
022af9c92.jpg,"[(109, 153, 179, 258)]"
022c0e756.jpg,"[(47, 665, 60, 678)]"
022eac631.jpg,"[(728, 52, 747, 71), (486, 157, 515, 186), (131, 273, 152, 293), (41, 313, 51, 321), (252, 435, 279, 459)]"
022ecd2ce.jpg,"[(536, 71, 564, 97)]"
0230623b4.jpg,"[(462, 304, 471, 319)]"
023240c31.jpg,"[(607, 146, 707, 274)]"
02329b747.jpg,"[(184, 388, 205, 409)]"
0235db857.jpg,"[(249, 165, 278, 330), (372, 175, 400, 340), (51, 191, 85, 415), (7, 225, 33, 399), (240, 404, 263, 573), (746, 406, 768, 591), (0, 447, 22, 616)]"
023612ad4.jpg,"[(420, 606, 442, 638)]"
023881a49.jpg,"[(564, 225, 604, 381)]"
0238e14b8.jpg,"[(683, 163, 768, 416), (263, 584, 361, 754)]"
023a8c6b4.jpg,"[(435, 381, 464, 493)]"
023aec5ee.jpg,"[(89, 457, 99, 466)]"
023f6f2f9.jpg,"[(31, 651, 86, 722)]"
0240fc4b8.jpg,"[(69, 499, 192, 685)]"
0241f860a.jpg,"[(692, 711, 703, 722)]"
02421d07b.jpg,"[(90, 61, 99, 71)]"
024248678.jpg,"[(211, 134, 220, 150), (262, 142, 268, 156), (349, 210, 356, 219), (167, 498, 174, 512)]"
0249b30e0.jpg,"[(137, 173, 150, 188)]"
024d1a276.jpg,"[(183, 487, 274, 542)]"
024ff1d87.jpg,"[(627, 24, 648, 47), (442, 143, 452, 150), (168, 188, 212, 224), (153, 199, 190, 229), (217, 220, 259, 253), (190, 225, 218, 246), (263, 252, 323, 297), (264, 275, 309, 312)]"
025085ccc.jpg,"[(625, 218, 649, 242)]"
0253c3406.jpg,"[(238, 81, 251, 96), (606, 120, 621, 134), (702, 170, 716, 183), (677, 202, 691, 214), (466, 203, 482, 219), (609, 672, 632, 692)]"
0259de307.jpg,"[(62, 226, 85, 272), (89, 610, 105, 673)]"
025b52a2b.jpg,"[(97, 434, 107, 448), (234, 576, 244, 586)]"
025b9f505.jpg,"[(370, 115, 396, 180), (560, 172, 589, 228), (185, 421, 209, 461), (491, 474, 520, 530)]"
025baec78.jpg,"[(196, 33, 218, 94), (377, 84, 424, 159), (702, 96, 752, 173), (498, 243, 525, 290), (303, 304, 343, 376), (626, 334, 671, 402), (472, 481, 508, 534), (300, 548, 324, 586), (147, 553, 177, 603), (650, 579, 703, 655), (1, 627, 30, 679), (180, 709, 212, 768)]"
025c5fdca.jpg,"[(690, 120, 700, 137)]"
025ee157d.jpg,"[(459, 255, 532, 377)]"
0262aaa0d.jpg,"[(46, 525, 138, 768)]"
